idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
976	52.9063	27.4699	55.3863	4.0	3.998	-0.105061432	-0.105858083	-0.000796651	-0.4999
977	62.9480	26.3149	55.7817	4.0	3.997	-0.134150588	-0.132258239	0.001892349	1.1875
978	60.1673	41.7726	54.5062	4.0	3.997	-0.136212977	-0.136682957	-0.000469980	-0.2949
979	62.9196	29.2776	48.8212	4.0	3.997	-0.129217698	-0.125000740	0.004216958	2.6462
980	52.8403	34.3550	58.4860	3.0	2.997	-0.149921125	-0.152046034	-0.002124909	-1.3334
981	54.5876	33.4416	61.9417	4.0	3.997	-0.131965552	-0.135441101	-0.003475549	-2.1809
982	50.0459	32.4580	53.5745	4.0	3.997	-0.103676158	-0.104349212	-0.000673054	-0.4223
983	62.5727	25.7237	58.0386	5.0	4.997	-0.117852829	-0.117436225	0.000416604	0.2614
984	56.2051	40.1326	58.3449	3.0	3.012	-0.165429690	-0.165891849	-0.000462160	-0.2900
985	61.9560	39.7124	54.9391	3.0	2.995	-0.162175525	-0.162958687	-0.000783162	-0.4914
986	64.7281	26.1759	57.3491	5.0	4.996	-0.116390150	-0.115339514	0.001050636	0.6593
987	62.6071	32.8065	61.0199	3.0	2.996	-0.153782167	-0.156613077	-0.002830910	-1.7764
988	51.7333	29.2043	52.3346	4.0	3.997	-0.103804207	-0.104306882	-0.000502676	-0.3154
989	65.8582	26.9551	57.3668	5.0	4.996	-0.116221771	-0.115058620	0.001163152	0.7299
990	58.9853	38.9262	49.2391	5.0	4.995	-0.122491625	-0.122230348	0.000261277	0.1640
991	61.8775	27.8145	51.9893	3.0	2.996	-0.156887578	-0.151286647	0.005600930	3.5146
992	55.4134	37.0127	62.2108	4.0	3.997	-0.135907981	-0.137995394	-0.002087413	-1.3099
993	62.6567	40.2552	58.6079	4.0	3.996	-0.138103689	-0.139086734	-0.000983045	-0.6169
994	67.2763	30.4176	58.8336	5.0	4.998	-0.118929915	-0.118378323	0.000551593	0.3461
995	55.9528	26.7363	58.7047	4.0	3.997	-0.112472502	-0.113881269	-0.001408767	-0.8840
996	57.7848	36.2342	61.6160	3.0	3.027	-0.165147733	-0.168528157	-0.003380424	-2.1212
997	52.0370	37.2937	54.7114	4.0	3.997	-0.133713387	-0.134862612	-0.001149225	-0.7211
998	59.5387	26.5195	58.7992	4.0	3.997	-0.124424607	-0.125329996	-0.000905389	-0.5681
999	49.8709	29.2402	56.8181	5.0	4.998	-0.092217561	-0.092953670	-0.000736108	-0.4619
1000	58.7821	27.7376	58.8088	3.0	2.997	-0.137912566	-0.139874805	-0.001962238	-1.2313
1001	59.4548	36.9772	50.2146	3.0	2.996	-0.151696428	-0.151094229	0.000602199	0.3779
1002	56.6291	39.8756	52.5421	4.0	3.994	-0.145797450	-0.146488409	-0.000690960	-0.4336
1003	65.4772	37.6652	53.2393	5.0	4.998	-0.134747905	-0.134151683	0.000596222	0.3741
1004	52.1173	37.1095	61.3185	5.0	4.996	-0.114276012	-0.115627420	-0.001351408	-0.8480
1005	65.0695	37.8443	55.7081	4.0	3.998	-0.144322257	-0.144523789	-0.000201532	-0.1265
1006	64.8304	31.9652	60.2114	4.0	4.000	-0.140696429	-0.141623530	-0.000927101	-0.5818
1007	51.6132	31.2560	57.3381	3.0	2.996	-0.113964825	-0.114890396	-0.000925571	-0.5808
1008	52.4640	31.4167	48.7605	5.0	4.997	-0.101289474	-0.101189374	0.000100100	0.0628
1009	50.4655	34.5232	55.9387	4.0	3.996	-0.115608522	-0.116529055	-0.000920533	-0.5776
1010	54.7775	37.1616	49.5964	4.0	3.997	-0.121240651	-0.121332453	-0.000091802	-0.0576
1011	59.6354	41.2532	56.3364	3.0	2.997	-0.155298827	-0.155874667	-0.000575840	-0.3613
1012	54.4873	28.8958	58.7821	3.0	2.995	-0.120681546	-0.122938477	-0.002256931	-1.4162
1013	64.3139	37.4414	57.0132	3.0	2.994	-0.157689534	-0.158682474	-0.000992940	-0.6231
1014	68.1689	32.0878	56.7997	5.0	4.998	-0.122079768	-0.120917194	0.001162574	0.7295
1015	54.8789	26.6222	59.8568	5.0	4.997	-0.101644140	-0.103034086	-0.001389946	-0.8722
1016	50.2902	36.0263	56.5562	5.0	5.047	-0.114126457	-0.115094422	-0.000967966	-0.6074
1017	53.6922	25.9069	56.0393	5.0	4.999	-0.099282847	-0.099869515	-0.000586668	-0.3681
1018	55.8426	33.1179	48.2631	4.0	3.999	-0.122780921	-0.121723196	0.001057726	0.6637
1019	59.2601	41.3636	61.2253	5.0	4.995	-0.120502863	-0.121342036	-0.000839172	-0.5266
1020	52.9406	30.0654	48.9500	5.0	4.997	-0.101631351	-0.101385599	0.000245752	0.1542
1021	54.7037	39.5940	55.6655	3.0	2.996	-0.161422946	-0.162324732	-0.000901785	-0.5659
1022	59.2132	35.4911	63.0153	4.0	3.997	-0.137765202	-0.140617808	-0.002852606	-1.7900
1023	53.4642	32.6537	49.2702	4.0	3.997	-0.115515416	-0.115420921	0.000094495	0.0593
1024	64.6941	32.2948	50.1280	3.0	2.994	-0.151273152	-0.146381072	0.004892080	3.0698
1025	64.7093	38.5474	56.4295	4.0	3.996	-0.141486045	-0.142041992	-0.000555947	-0.3489
1026	60.9127	40.3271	54.5547	3.0	2.998	-0.159313733	-0.160003463	-0.000689730	-0.4328
1027	51.4892	36.8637	57.8877	4.0	3.996	-0.128293170	-0.129452952	-0.001159782	-0.7278
1028	57.0913	40.9573	56.0153	3.0	2.998	-0.160372697	-0.160875534	-0.000502837	-0.3155
1029	52.1346	38.7139	56.7411	4.0	3.995	-0.130541489	-0.131474640	-0.000933151	-0.5856
1030	62.2816	32.2303	62.1562	4.0	3.997	-0.135565969	-0.138120364	-0.002554395	-1.6029
1031	56.3868	27.5884	54.1141	3.0	2.995	-0.136455809	-0.136270492	0.000185318	0.1163
1032	62.0257	36.7496	50.9972	3.0	2.995	-0.159858630	-0.158981001	0.000877629	0.5507
1033	51.8747	29.4986	49.9756	5.0	4.998	-0.097725154	-0.097774158	-0.000049004	-0.0308
1034	56.5615	30.8927	47.9762	5.0	5.002	-0.118751626	-0.117177065	0.001574561	0.9881
1035	58.4645	28.9274	48.5660	5.0	4.998	-0.122941067	-0.120366238	0.002574829	1.6157
1036	53.7549	30.6533	60.6784	4.0	3.997	-0.118908109	-0.121671694	-0.002763585	-1.7342
1037	61.1532	36.6316	61.1987	3.0	2.995	-0.159206265	-0.161529750	-0.002323485	-1.4580
1038	67.9796	30.0354	54.3978	5.0	4.996	-0.121463278	-0.119166190	0.002297089	1.4414
1039	68.1841	30.8947	56.4731	5.0	4.997	-0.120218501	-0.118790074	0.001428426	0.8964
1040	65.7633	31.2640	57.6637	3.0	2.996	-0.156450426	-0.155256079	0.001194347	0.7495
1041	49.9108	35.1059	57.0152	5.0	4.996	-0.109241921	-0.110189419	-0.000947497	-0.5946
1042	61.7001	31.7794	48.8524	3.0	2.995	-0.151572236	-0.146758827	0.004813408	3.0205
1043	61.0497	40.9648	53.6226	4.0	3.997	-0.139518662	-0.139928442	-0.000409780	-0.2571
1044	56.7679	26.0454	55.4344	4.0	3.998	-0.119024373	-0.119061455	-0.000037082	-0.0233
1045	60.9559	33.6069	61.7647	3.0	2.997	-0.154453121	-0.158222227	-0.003769106	-2.3651
1046	53.8292	40.9047	59.8107	5.0	4.997	-0.117622266	-0.118381846	-0.000759579	-0.4766
1047	61.5228	33.3811	46.9598	5.0	4.999	-0.119272546	-0.117029192	0.002243353	1.4077
1048	62.3456	35.8226	62.2507	4.0	3.998	-0.135203201	-0.137195375	-0.001992173	-1.2501
