idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
748	58.8325	41.5273	53.6818	4.0	3.999	-0.138997468	-0.139463166	-0.000465698	-0.2922
749	57.0325	29.9445	61.7110	4.0	3.999	-0.125202514	-0.129545041	-0.004342527	-2.7250
750	55.2325	31.6273	61.9645	4.0	4.001	-0.125399649	-0.129674644	-0.004274995	-2.6826
751	54.3516	34.0273	61.7110	4.0	4.000	-0.134555620	-0.138340550	-0.003784931	-2.3751
752	61.2325	32.9670	47.9110	4.0	3.998	-0.135137882	-0.131811736	0.003326146	2.0872
753	61.8325	34.3273	62.6439	4.0	4.000	-0.133339620	-0.136442908	-0.003103288	-1.9473
754	64.8325	27.1031	55.7110	4.0	4.000	-0.134067803	-0.131592360	0.002475442	1.5534
755	58.8325	26.2273	54.7485	4.0	3.999	-0.131712137	-0.130297400	0.001414737	0.8878
756	51.4402	35.5273	58.1110	4.0	4.000	-0.128430944	-0.129837187	-0.001406243	-0.8824
757	63.0325	34.3273	62.1042	4.0	4.000	-0.133047858	-0.135671323	-0.002623465	-1.6462
758	66.4377	30.7273	51.2110	4.0	4.000	-0.135055420	-0.130762438	0.004292982	2.6939
759	60.6116	30.1273	61.4110	4.0	4.003	-0.137250040	-0.141260018	-0.004009978	-2.5163
760	54.0325	40.4718	58.1110	4.0	3.999	-0.136019378	-0.136841474	-0.000822096	-0.5159
761	52.5325	30.1273	59.1662	4.0	3.999	-0.110359423	-0.112184259	-0.001824837	-1.1451
762	58.8325	38.9384	50.9110	4.0	3.999	-0.142214406	-0.142115307	0.000099100	0.0622
763	57.0325	31.9273	48.5036	4.0	4.000	-0.131569230	-0.129234318	0.002334912	1.4652
764	55.8325	37.6273	49.4019	4.0	4.000	-0.122722209	-0.122443322	0.000278887	0.1750
765	56.4325	31.3273	62.4913	4.0	3.999	-0.124603850	-0.129070218	-0.004466369	-2.8027
766	63.6325	27.3421	51.5110	4.0	4.000	-0.135100937	-0.130469246	0.004631691	2.9064
767	63.3325	28.0273	59.4031	4.0	3.999	-0.132714259	-0.133145654	-0.000431395	-0.2707
768	66.3325	29.4444	52.7110	4.0	3.999	-0.139449624	-0.135068755	0.004380870	2.7490
769	56.1325	30.1273	49.3999	4.0	4.000	-0.129178239	-0.127154378	0.002023861	1.2700
770	57.9325	39.7273	51.9496	4.0	3.999	-0.146164172	-0.146521470	-0.000357298	-0.2242
771	49.8658	31.9273	54.5110	4.0	4.000	-0.101251352	-0.101797562	-0.000546211	-0.3428
772	63.7699	36.4273	61.1110	4.0	3.999	-0.134257347	-0.136404388	-0.002147041	-1.3473
773	56.1325	27.3937	52.1110	4.0	4.000	-0.125113589	-0.123841430	0.001272160	0.7983
774	50.2736	31.6273	53.0110	4.0	4.000	-0.102067915	-0.102581318	-0.000513403	-0.3222
775	66.5647	34.0273	52.1110	4.0	4.000	-0.140964882	-0.138133598	0.002831284	1.7767
776	58.8325	42.1273	58.0882	4.0	3.999	-0.135519625	-0.136227504	-0.000707879	-0.4442
777	65.1642	31.0273	59.9110	4.0	4.000	-0.136488681	-0.137149505	-0.000660825	-0.4147
778	65.7992	29.2273	58.4110	4.0	3.999	-0.133060291	-0.132271690	0.000788601	0.4949
779	60.0325	41.8273	58.5465	4.0	3.998	-0.135054552	-0.135916350	-0.000861798	-0.5408
780	60.3325	38.1621	61.7110	4.0	3.999	-0.143829489	-0.146096450	-0.002266961	-1.4225
781	54.6325	30.1273	61.1031	4.0	4.000	-0.117475066	-0.120775097	-0.003300031	-2.0708
782	53.4325	31.3273	60.5088	4.0	4.000	-0.120413011	-0.123425809	-0.003012798	-1.8906
783	57.0325	27.8401	51.5110	4.0	3.999	-0.133763965	-0.131509131	0.002254835	1.4149
784	58.5325	35.8273	62.9647	4.0	4.000	-0.137691032	-0.141187307	-0.003496274	-2.1939
785	57.9325	33.4273	48.0731	4.0	4.000	-0.130861127	-0.128677837	0.002183290	1.3700
786	52.8325	37.0273	52.0490	4.0	3.999	-0.127517177	-0.128278843	-0.000761666	-0.4780
787	60.9325	26.3995	53.9110	4.0	4.000	-0.140300691	-0.137315019	0.002985672	1.8735
788	59.7325	38.1810	50.0110	4.0	4.000	-0.137348205	-0.136763727	0.000584479	0.3668
789	63.1354	31.3273	61.4110	4.0	3.999	-0.135577446	-0.138037488	-0.002460042	-1.5437
790	60.4295	34.6273	62.9110	4.0	4.015	-0.135779961	-0.139381782	-0.003601822	-2.2602
791	51.0889	35.2273	56.6110	4.0	3.999	-0.125159158	-0.126291159	-0.001132001	-0.7103
792	57.9325	34.3273	63.3469	4.0	4.000	-0.130821441	-0.134846669	-0.004025228	-2.5259
793	65.0146	36.7273	59.6110	4.0	3.999	-0.134270175	-0.135798759	-0.001528584	-0.9592
794	58.8325	30.4597	62.3110	4.0	3.999	-0.127965921	-0.132383134	-0.004417213	-2.7718
795	65.9048	35.2273	57.5110	4.0	4.000	-0.146899954	-0.147115524	-0.000215571	-0.1353
796	55.2325	40.8479	58.7110	4.0	4.000	-0.139819992	-0.140606289	-0.000786297	-0.4934
797	64.5325	29.8273	59.9895	4.0	3.999	-0.134673228	-0.135369358	-0.000696130	-0.4368
798	55.7681	39.7273	53.0110	4.0	3.999	-0.147858029	-0.148641052	-0.000783023	-0.4914
799	63.3325	37.3273	61.0603	4.0	3.999	-0.134639964	-0.136766000	-0.002126036	-1.3341
800	52.9082	29.5273	50.6110	4.0	3.999	-0.108811512	-0.108692248	0.000119264	0.0748
801	57.0325	26.2273	57.7704	4.0	3.999	-0.115133886	-0.115974675	-0.000840790	-0.5276
802	62.4325	38.0451	61.1110	4.0	3.999	-0.137882954	-0.140039309	-0.002156355	-1.3531
803	54.9325	28.2719	50.9110	4.0	3.999	-0.118375195	-0.117465454	0.000909741	0.5709
804	66.7991	30.4273	53.3110	4.0	4.000	-0.142313323	-0.138275912	0.004037411	2.5335
805	55.8325	28.3273	50.7099	4.0	3.999	-0.124428054	-0.122895224	0.001532829	0.9619
806	58.5325	42.0398	54.8110	4.0	4.000	-0.137381764	-0.137902039	-0.000520274	-0.3265
807	56.1325	39.4273	61.1523	4.0	4.000	-0.139322155	-0.140745713	-0.001423558	-0.8933
808	51.0325	29.9214	57.5110	4.0	3.998	-0.101248228	-0.102185323	-0.000937095	-0.5880
809	62.3243	38.8273	52.7110	4.0	3.999	-0.152473796	-0.152383163	0.000090633	0.0569
810	64.8010	28.6273	59.0110	4.0	3.999	-0.132479989	-0.132245727	0.000234262	0.1470
811	57.3325	26.6393	53.6110	4.0	4.000	-0.128531593	-0.127217497	0.001314096	0.8246
812	53.4325	36.8389	50.6110	4.0	3.998	-0.121628349	-0.121901748	-0.000273400	-0.1716
813	62.2885	40.0273	53.6110	4.0	3.999	-0.144326011	-0.144616607	-0.000290596	-0.1824
814	58.2325	39.1273	61.5587	4.0	4.000	-0.142902830	-0.144654906	-0.001752077	-1.0994
815	52.8325	37.0273	60.6171	4.0	3.999	-0.130004373	-0.131730109	-0.001725736	-1.0829
816	64.5733	35.8273	60.5110	4.0	4.000	-0.134981944	-0.136848191	-0.001866247	-1.1711
817	61.8325	32.5273	62.3568	4.0	4.000	-0.134277443	-0.137710367	-0.003432924	-2.1542
818	65.9141	35.5273	53.0110	4.0	3.999	-0.147319063	-0.145521107	0.001797956	1.1282
819	50.7954	35.2273	54.8110	4.0	4.000	-0.119014330	-0.119979487	-0.000965157	-0.6056
820	63.6325	35.5273	49.5602	4.0	3.999	-0.139427296	-0.137191703	0.002235593	1.4029
821	51.6325	33.7273	58.7291	4.0	4.000	-0.123717903	-0.125366045	-0.001648141	-1.0342
822	57.9325	30.7273	49.0345	4.0	4.000	-0.140186308	-0.136873202	0.003313106	2.0790
823	63.6325	38.9465	59.3110	4.0	3.999	-0.136657571	-0.138320091	-0.001662519	-1.0432
824	51.8578	28.6273	53.0110	4.0	3.999	-0.102564647	-0.102973728	-0.000409080	-0.2567
825	66.8901	30.4273	57.2110	4.0	4.000	-0.135409191	-0.133858643	0.001550548	0.9730
826	61.5325	39.7273	60.3996	4.0	3.999	-0.138868664	-0.140513366	-0.001644701	-1.0321
827	61.8325	26.2273	56.2322	4.0	3.998	-0.134878596	-0.133386514	0.001492082	0.9363
828	65.7325	28.0273	54.3772	4.0	3.998	-0.137861809	-0.134331932	0.003529877	2.2150
829	52.3404	31.6273	50.0110	4.0	3.999	-0.109119791	-0.109133573	-0.000013783	-0.0086
830	61.8325	27.7273	59.4696	4.0	3.999	-0.133830677	-0.134902770	-0.001072093	-0.6727
831	60.6325	36.4273	48.6607	4.0	3.999	-0.132263112	-0.130823906	0.001439206	0.9031
832	67.0736	30.1273	55.4110	4.0	4.000	-0.137749888	-0.135017520	0.002732369	1.7146
