row	idx	x	y	z	shell	standoff
159	159	66.6758	33.1498	49.4764	5.0	4.998
160	160	49.4960	32.7125	57.8309	5.0	4.998
161	161	58.1179	29.9198	60.4100	3.0	3.037
162	162	56.6593	35.1405	47.0460	5.0	4.997
163	163	65.3011	28.0773	57.7628	4.0	3.996
164	164	50.9778	31.6743	56.0228	3.0	2.998
165	165	61.0448	42.8042	55.1921	5.0	4.997
166	166	63.3341	31.1212	61.1590	4.0	3.997
167	167	50.4871	32.7922	52.3809	4.0	3.998
168	168	62.1652	28.6181	50.5505	3.0	2.998
169	169	55.5158	40.2283	61.6519	5.0	4.998
170	170	51.3046	28.9039	53.5640	4.0	3.998
171	171	57.4918	37.5863	50.4125	3.0	2.995
172	172	59.7183	30.8044	49.4296	3.0	2.998
173	173	56.8884	28.0001	49.7137	5.0	4.998
174	174	54.2819	39.6481	60.0838	4.0	3.996
175	175	65.9150	30.5008	56.9235	3.0	2.997
176	176	58.0747	42.9515	54.5002	5.0	4.998
177	177	63.4658	35.5847	62.8813	5.0	4.997
178	178	50.5838	34.9186	50.9815	5.0	4.998
179	179	60.3697	33.2939	47.9874	4.0	4.003
180	180	61.1060	31.0710	60.8189	3.0	2.996
181	181	58.9206	41.7714	59.0082	4.0	3.998
182	182	55.2912	30.1718	61.3968	4.0	3.998
183	183	59.4261	37.5563	48.1112	5.0	4.998
184	184	55.5119	30.3053	48.2181	5.0	4.998
185	185	60.9373	42.0389	59.8525	5.0	4.998
186	186	60.4929	28.0367	51.7018	3.0	2.995
187	187	52.9424	35.3721	60.8827	4.0	3.995
188	188	59.3731	26.0422	57.4794	4.0	3.998
189	189	59.3191	42.8878	54.2414	5.0	4.997
190	190	66.2269	31.9321	54.7501	3.0	2.998
191	191	55.2643	38.0434	48.6366	5.0	4.996
192	192	56.6759	35.8873	61.5392	3.0	3.013
193	193	52.8016	40.5806	55.0638	5.0	4.998
194	194	59.8541	30.2901	60.5473	3.0	3.015
195	195	52.7594	32.8618	59.7359	4.0	3.999
196	196	62.9610	29.7504	61.7924	5.0	5.005
197	197	66.9059	32.9400	59.4549	5.0	4.997
198	198	55.5912	32.5511	49.6667	3.0	2.997
199	199	51.8352	36.1445	61.1752	5.0	4.998
200	200	57.6396	27.0348	51.1138	5.0	5.007
201	201	67.6634	29.8668	53.3127	5.0	4.999
202	202	60.7630	34.0412	47.0060	5.0	4.998
203	203	65.8503	35.2744	51.9676	4.0	3.996
204	204	64.9551	37.5376	54.6978	4.0	3.997
205	205	62.0751	26.8464	51.7741	4.0	3.998
206	206	66.3476	35.5933	50.6655	5.0	4.998
207	207	59.7195	31.4984	47.1242	5.0	4.998
208	208	67.8240	32.5794	57.8866	5.0	4.998
209	209	58.4320	36.6565	49.8689	3.0	2.994
210	210	53.6584	34.8657	50.9230	3.0	3.028
211	211	63.4981	39.5919	55.3360	4.0	3.995
212	212	54.1026	36.1445	48.1306	5.0	4.998
213	213	65.0890	30.1277	48.2545	5.0	4.999
214	214	56.7312	27.0418	59.3383	4.0	3.999
215	215	58.4516	41.0359	55.0082	3.0	2.995
216	216	66.6518	29.7518	50.0643	5.0	4.998
217	217	62.0920	29.8356	48.3535	4.0	3.998
218	218	62.1605	28.9049	60.3551	4.0	3.998
219	219	64.2325	29.8247	58.8751	3.0	2.999
220	220	62.8214	39.0233	56.4477	3.0	2.994
221	221	51.6727	32.8513	52.2017	3.0	2.997
222	222	60.7855	29.0593	59.7877	3.0	2.993
223	223	59.8297	43.2550	56.5173	5.0	4.997
224	224	53.4334	33.8264	59.1774	3.0	2.996
225	225	58.4312	26.6955	60.6315	5.0	4.995
226	226	63.1990	26.8662	49.8524	5.0	4.996
227	227	56.5612	32.3234	61.8036	3.0	2.995
228	228	60.6134	40.8817	55.6422	3.0	2.997
229	229	62.0097	32.8049	48.9149	3.0	2.997
230	230	50.1104	29.6739	52.2491	5.0	4.996
231	231	60.0004	24.9756	56.8008	5.0	4.998
232	232	63.2391	28.3184	51.5738	3.0	2.996
233	233	56.7909	39.0399	50.7083	4.0	3.996
234	234	60.0082	37.8211	51.2645	3.0	2.997
235	235	58.6443	32.3806	47.1989	5.0	4.996
236	236	54.8578	41.2889	60.0009	5.0	4.997
237	237	66.0746	32.9683	54.9259	3.0	2.995
238	238	51.8759	29.6545	58.3508	4.0	3.996
