idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
141	52.5210	36.2355	58.2700	3.0	-0.148218	-0.149700	-0.001481
142	66.7967	32.8800	51.8618	4.0	-0.137031	-0.133907	0.003123
143	51.6236	28.7082	53.2719	4.0	-0.102016	-0.102577	-0.000561
144	51.2678	32.2005	58.6859	4.0	-0.113020	-0.114393	-0.001373
145	59.2621	40.9461	58.3541	3.0	-0.155540	-0.156132	-0.000591
146	54.7203	29.6210	52.5952	2.0	-0.142521	-0.143434	-0.000913
147	59.8619	30.6487	48.3048	4.0	-0.135322	-0.131836	0.003486
148	65.6589	35.8751	53.7185	4.0	-0.151360	-0.150101	0.001259
149	52.4790	37.0098	56.8053	3.0	-0.149585	-0.150860	-0.001275
150	63.0044	29.1163	52.2256	2.0	-0.186002	-0.176811	0.009190
151	63.0977	36.2712	54.4441	2.0	-0.198082	-0.197941	0.000141
152	58.4103	35.8318	60.6727	2.0	-0.195012	-0.199440	-0.004429
153	53.6161	32.2661	50.3100	3.0	-0.126578	-0.126833	-0.000254
154	65.1416	30.6626	55.7042	2.0	-0.188613	-0.184203	0.004410
155	54.4503	40.3332	54.8597	4.0	-0.140409	-0.141189	-0.000780
156	61.3385	27.4005	54.0082	3.0	-0.162853	-0.158901	0.003952
157	63.2715	36.7779	50.6327	4.0	-0.145013	-0.143831	0.001182
158	62.9658	34.0230	50.7725	2.0	-0.185367	-0.181226	0.004141
159	54.6634	29.5337	57.7243	2.0	-0.130665	-0.133084	-0.002419
160	53.4301	28.4228	55.9833	3.0	-0.114645	-0.115889	-0.001245
161	59.1090	32.6170	49.1610	3.0	-0.156105	-0.152857	0.003248
162	61.8394	35.1479	48.5387	4.0	-0.136209	-0.134217	0.001992
163	60.4636	28.4669	57.7841	2.0	-0.168968	-0.170139	-0.001171
164	64.2567	37.5351	57.0153	3.0	-0.157625	-0.158646	-0.001021
165	64.0583	29.2081	56.5252	2.0	-0.182647	-0.179713	0.002934
166	54.1192	34.4416	50.3072	3.0	-0.132938	-0.133120	-0.000182
167	67.1117	32.8881	56.3952	4.0	-0.140869	-0.139424	0.001445
168	64.5957	30.1378	60.0724	4.0	-0.135858	-0.136454	-0.000596
169	64.3075	37.0591	52.9233	4.0	-0.154277	-0.153570	0.000707
170	51.4774	36.0913	55.0589	4.0	-0.129567	-0.130727	-0.001160
171	64.2074	34.3367	52.6604	2.0	-0.194461	-0.191292	0.003169
172	50.7751	34.9950	53.4746	4.0	-0.115090	-0.116015	-0.000925
173	56.2055	41.1596	54.3924	4.0	-0.140997	-0.141616	-0.000620
174	53.3758	39.0691	59.8494	4.0	-0.130695	-0.131695	-0.000999
175	55.8187	36.4936	51.2730	2.0	-0.154218	-0.154575	-0.000357
176	51.9813	35.4302	51.3892	4.0	-0.117791	-0.118551	-0.000761
177	53.8900	30.3671	60.7047	4.0	-0.117831	-0.120562	-0.002732
178	52.3391	39.0145	57.3842	4.0	-0.130321	-0.131217	-0.000896
179	52.1554	37.2687	59.5542	4.0	-0.128364	-0.129634	-0.001270
180	60.0419	26.8062	59.2107	4.0	-0.125973	-0.127026	-0.001053
181	63.8657	35.8575	56.9186	2.0	-0.184898	-0.186133	-0.001235
182	66.1706	29.2296	52.4955	4.0	-0.136502	-0.132438	0.004064
183	54.7320	38.2258	50.6888	4.0	-0.126324	-0.126743	-0.000419
184	63.3407	27.4776	55.1633	3.0	-0.156196	-0.152909	0.003287
185	64.3086	30.0997	52.5355	2.0	-0.188882	-0.179830	0.009052
186	65.0307	31.4679	58.7302	3.0	-0.157464	-0.157452	0.000012
187	58.2623	28.7155	50.4936	4.0	-0.143740	-0.140449	0.003291
188	56.4799	31.1401	59.8143	2.0	-0.161347	-0.168961	-0.007614
189	56.4574	37.6559	52.9869	2.0	-0.183804	-0.185520	-0.001716
190	56.8687	32.5050	63.0651	4.0	-0.127347	-0.131122	-0.003775
191	56.1696	40.3456	57.5676	3.0	-0.166005	-0.166443	-0.000438
192	53.4712	35.5275	51.6338	3.0	-0.137426	-0.138403	-0.000977
193	53.4364	30.5371	57.3161	2.0	-0.125753	-0.127197	-0.001443
194	59.7572	29.3780	50.2281	3.0	-0.157581	-0.152394	0.005187
195	58.4590	37.6147	53.0555	2.0	-0.204234	-0.205631	-0.001397
196	55.8908	28.9793	53.6079	2.0	-0.152991	-0.153280	-0.000289
197	65.7401	30.1596	50.3476	4.0	-0.130799	-0.126668	0.004131
198	55.3198	38.0007	59.3364	2.0	-0.185173	-0.186048	-0.000875
199	64.1963	29.7619	50.5509	3.0	-0.150504	-0.144454	0.006049
200	62.3872	28.6968	53.6172	2.0	-0.198410	-0.190598	0.007812
201	59.4161	37.3073	49.1878	4.0	-0.133968	-0.133297	0.000671
202	62.7444	37.5372	58.0598	2.0	-0.178917	-0.181509	-0.002591
203	54.1213	29.1518	54.7898	2.0	-0.128483	-0.130391	-0.001908
204	65.0763	27.7611	53.5208	4.0	-0.138776	-0.134959	0.003817
205	50.1544	34.0014	55.2321	4.0	-0.110503	-0.111316	-0.000813
206	56.7423	36.9392	62.4179	4.0	-0.140825	-0.143166	-0.002341
207	50.3156	30.5990	53.5638	4.0	-0.100205	-0.100800	-0.000595
208	67.1339	30.7658	54.5653	4.0	-0.139188	-0.136267	0.002921
209	59.7123	33.6088	61.0973	2.0	-0.176495	-0.182657	-0.006163
210	64.4749	32.8969	51.5864	2.0	-0.184890	-0.178666	0.006224
211	64.0624	39.2448	56.8159	4.0	-0.141723	-0.142501	-0.000777
212	53.9836	40.5440	57.5072	4.0	-0.134969	-0.135660	-0.000691
213	64.1404	34.0718	56.8049	2.0	-0.203901	-0.203556	0.000345
214	52.5951	38.9798	55.3916	4.0	-0.133413	-0.134351	-0.000938
215	57.3971	36.9817	60.3369	2.0	-0.196914	-0.199530	-0.002616
216	60.5338	39.1749	58.5373	2.0	-0.187532	-0.188750	-0.001218
217	55.3379	33.7347	59.8318	2.0	-0.183778	-0.190791	-0.007012
218	52.7150	28.3916	52.1854	4.0	-0.106845	-0.107192	-0.000347
219	58.2121	39.8815	58.1952	2.0	-0.189949	-0.190095	-0.000146
220	57.7233	30.8793	62.5782	4.0	-0.127138	-0.131030	-0.003892
221	65.7338	31.5882	51.7527	3.0	-0.155658	-0.150517	0.005141
222	55.6858	32.7842	49.5241	3.0	-0.138710	-0.137554	0.001156
223	60.3112	42.0610	57.4216	4.0	-0.133811	-0.134391	-0.000580
224	55.8348	39.7392	54.8407	3.0	-0.169774	-0.170719	-0.000945
225	59.4921	35.8274	48.2859	4.0	-0.130888	-0.129636	0.001251
226	65.5346	36.8965	58.1660	4.0	-0.137968	-0.138631	-0.000663
227	62.3926	32.4210	61.0450	3.0	-0.153819	-0.156834	-0.003014
228	54.6625	38.4493	54.0030	3.0	-0.164057	-0.165447	-0.001390
229	59.3950	38.3629	50.2553	4.0	-0.139537	-0.139323	0.000214
230	59.6443	31.4973	60.2619	2.0	-0.176852	-0.185054	-0.008202
231	61.9856	27.8799	49.8388	4.0	-0.131465	-0.127257	0.004207
232	54.5166	31.6160	60.0996	3.0	-0.139625	-0.143857	-0.004232
233	62.4770	33.5451	62.3249	4.0	-0.135083	-0.137437	-0.002354
234	57.4163	41.0690	53.3523	4.0	-0.140440	-0.140998	-0.000558
235	56.9550	40.4044	60.3352	4.0	-0.140679	-0.141503	-0.000824
236	58.9176	34.6079	50.0939	2.0	-0.167863	-0.165957	0.001906
237	64.4255	35.9872	58.8981	3.0	-0.154663	-0.156113	-0.001451
238	57.0092	38.8916	54.3871	2.0	-0.201979	-0.203402	-0.001423
239	60.5468	41.1610	53.5819	4.0	-0.138792	-0.139214	-0.000422
240	61.3750	30.2316	61.4076	4.0	-0.138705	-0.141622	-0.002917
241	55.8004	34.3104	62.7533	4.0	-0.132657	-0.136064	-0.003408
242	65.4871	29.1180	55.5381	3.0	-0.155801	-0.152439	0.003362
243	60.9827	41.0195	59.4186	4.0	-0.135364	-0.136210	-0.000846
244	61.9610	29.7398	49.5319	3.0	-0.150221	-0.144439	0.005781
245	60.8127	32.3657	62.6047	4.0	-0.135833	-0.139139	-0.003306
246	64.9818	31.7864	57.0368	2.0	-0.188055	-0.186095	0.001959
247	56.2414	28.3315	54.9486	2.0	-0.145605	-0.146481	-0.000876
248	60.5813	34.1672	49.0168	3.0	-0.152620	-0.150039	0.002580
249	57.4994	32.3130	60.9995	2.0	-0.166001	-0.174400	-0.008399
250	64.5918	38.1812	54.8943	4.0	-0.146684	-0.146804	-0.000120
251	60.6274	33.0884	50.0983	2.0	-0.187357	-0.182686	0.004670
252	56.3672	26.7787	53.5055	4.0	-0.124471	-0.123919	0.000552
253	56.0031	28.7333	59.6142	3.0	-0.127051	-0.129995	-0.002943
254	57.1584	28.0319	53.1228	3.0	-0.148319	-0.146782	0.001537
255	58.1846	29.3946	53.0981	2.0	-0.188996	-0.184677	0.004320
256	56.4487	26.6347	58.6698	4.0	-0.114314	-0.115677	-0.001363
257	58.8237	39.3344	54.0956	2.0	-0.192977	-0.194059	-0.001082
258	52.6317	33.4169	59.6338	4.0	-0.132133	-0.134476	-0.002343
259	63.2103	38.9077	53.7582	4.0	-0.150902	-0.151091	-0.000189
260	63.3537	36.1668	52.0827	3.0	-0.170919	-0.169821	0.001098
261	58.5258	32.5493	63.2683	4.0	-0.128852	-0.132499	-0.003647
262	59.7778	33.5012	63.1893	4.0	-0.132898	-0.136186	-0.003288
263	54.5272	27.5076	52.2770	4.0	-0.114986	-0.114853	0.000133
264	62.6570	37.5070	55.6949	2.0	-0.193098	-0.194482	-0.001384
265	59.5183	29.4311	59.1037	2.0	-0.164341	-0.168765	-0.004423
266	55.2380	30.9403	50.1346	3.0	-0.136334	-0.135385	0.000948
267	62.8347	40.1005	58.5269	4.0	-0.138757	-0.139763	-0.001005
268	62.8021	32.2300	59.3748	2.0	-0.184558	-0.187607	-0.003048
269	61.2230	31.3780	48.9050	3.0	-0.152176	-0.147260	0.004915
270	59.4479	26.0994	55.0845	4.0	-0.132921	-0.131709	0.001212
271	57.9391	36.8733	51.1898	2.0	-0.165567	-0.165614	-0.000047
272	61.5462	35.2203	62.6623	4.0	-0.135588	-0.137920	-0.002332
