idx	x	y	z	shell	standoff	V_R_Eh	V_TS_Eh	dv_Eh	dv_kcal_per_e
130	56.5545	33.6885	62.0375	3.0	2.996	-0.147175020	-0.153094679	-0.005919659	-3.7146
131	57.6251	42.3677	53.3721	5.0	4.998	-0.122976925	-0.123377782	-0.000400857	-0.2515
132	62.3083	42.1939	55.2233	5.0	4.996	-0.121654024	-0.122123586	-0.000469562	-0.2947
133	65.5468	34.1447	53.9930	3.0	2.995	-0.173721616	-0.170815095	0.002906522	1.8239
134	53.9355	38.1687	59.5738	3.0	2.996	-0.152884374	-0.154221166	-0.001336792	-0.8388
135	57.1791	40.8000	57.9418	3.0	2.994	-0.163128781	-0.163694188	-0.000565406	-0.3548
136	50.7628	30.9992	57.8092	4.0	3.999	-0.103649144	-0.104633943	-0.000984799	-0.6180
137	51.6774	28.5633	58.8338	5.0	4.997	-0.096838518	-0.098043333	-0.001204815	-0.7560
138	60.5659	30.6667	61.8892	4.0	3.996	-0.135039699	-0.139173246	-0.004133547	-2.5938
139	61.2135	37.8338	62.8444	5.0	4.998	-0.124941804	-0.126998766	-0.002056961	-1.2908
140	66.7429	30.1324	53.7001	4.0	3.998	-0.142832184	-0.138883431	0.003948753	2.4779
141	56.3069	28.4464	52.2792	3.0	2.994	-0.141861642	-0.140234095	0.001627547	1.0213
142	61.7522	38.7866	49.7444	5.0	4.998	-0.124917411	-0.124244929	0.000672482	0.4220
143	54.4492	29.3876	51.3406	3.0	2.993	-0.127470751	-0.127114605	0.000356146	0.2235
144	57.2384	28.0273	53.1182	3.0	2.996	-0.148176166	-0.146107863	0.002068304	1.2979
145	53.0037	30.8393	61.4067	5.0	4.997	-0.108160521	-0.110595489	-0.002434968	-1.5280
146	50.8501	33.9507	57.6333	4.0	3.995	-0.117358320	-0.118501656	-0.001143336	-0.7175
147	62.0581	42.4965	56.5143	5.0	4.997	-0.120190889	-0.120797045	-0.000606156	-0.3804
148	60.0731	29.9420	62.8979	5.0	4.998	-0.118034041	-0.121137477	-0.003103436	-1.9474
149	54.3473	30.5257	62.2034	5.0	4.998	-0.110161441	-0.113092736	-0.002931295	-1.8394
150	66.2632	29.1153	59.5241	5.0	4.996	-0.117860372	-0.117630046	0.000230326	0.1445
151	63.8954	27.8933	56.7384	3.0	2.996	-0.153598426	-0.151504766	0.002093660	1.3138
152	54.2863	28.2380	57.5752	3.0	2.996	-0.115388696	-0.116988977	-0.001600281	-1.0042
153	56.7649	42.6832	54.6070	5.0	4.998	-0.122375886	-0.122859527	-0.000483641	-0.3035
154	62.5103	35.2791	63.3989	5.0	4.997	-0.119318164	-0.121569242	-0.002251078	-1.4126
155	63.9944	36.1353	61.0110	4.0	4.001	-0.134365765	-0.136468233	-0.002102468	-1.3193
156	57.6802	34.8175	49.0264	3.0	2.996	-0.140486687	-0.138680084	0.001806602	1.1337
157	65.2680	34.2643	56.9966	3.0	2.995	-0.169984261	-0.169581320	0.000402942	0.2528
158	52.3617	33.4902	51.3844	3.0	2.994	-0.123030446	-0.123771342	-0.000740897	-0.4649
159	66.6758	33.1498	49.4764	5.0	4.998	-0.118385788	-0.115647967	0.002737821	1.7180
160	49.4960	32.7125	57.8309	5.0	4.998	-0.099209537	-0.100129529	-0.000919992	-0.5773
161	58.1179	29.9198	60.4100	3.0	3.037	-0.144576207	-0.150544862	-0.005968655	-3.7454
162	56.6593	35.1405	47.0460	5.0	4.997	-0.110683789	-0.109595936	0.001087854	0.6826
163	65.3011	28.0773	57.7628	4.0	3.996	-0.132248440	-0.131045356	0.001203083	0.7549
164	50.9778	31.6743	56.0228	3.0	2.998	-0.110202040	-0.110687511	-0.000485471	-0.3046
165	61.0448	42.8042	55.1921	5.0	4.997	-0.120313392	-0.120776229	-0.000462837	-0.2904
166	63.3341	31.1212	61.1590	4.0	3.997	-0.136783878	-0.139039688	-0.002255810	-1.4155
167	50.4871	32.7922	52.3809	4.0	3.998	-0.105544034	-0.106123580	-0.000579547	-0.3637
168	62.1652	28.6181	50.5505	3.0	2.998	-0.153577387	-0.147010077	0.006567310	4.1210
169	55.5158	40.2283	61.6519	5.0	4.998	-0.121219879	-0.122442784	-0.001222906	-0.7674
170	51.3046	28.9039	53.5640	4.0	3.998	-0.100290199	-0.100760404	-0.000470205	-0.2951
171	57.4918	37.5863	50.4125	3.0	2.995	-0.143594656	-0.143271963	0.000322693	0.2025
172	59.7183	30.8044	49.4296	3.0	2.998	-0.158630126	-0.153256504	0.005373623	3.3720
173	56.8884	28.0001	49.7137	5.0	4.998	-0.119795142	-0.117682562	0.002112579	1.3257
174	54.2819	39.6481	60.0838	4.0	3.996	-0.134376919	-0.135492039	-0.001115120	-0.6997
175	65.9150	30.5008	56.9235	3.0	2.997	-0.156872737	-0.154692104	0.002180633	1.3684
176	58.0747	42.9515	54.5002	5.0	4.998	-0.121160175	-0.121599023	-0.000438848	-0.2754
