idx	x	y	z	shell	standoff	nx	ny	nz
431	59.1325	34.0273	63.3236	4.0	4.000	0.1227	0.0864	0.9887
432	61.2325	28.3273	49.3421	4.0	3.999	-0.0847	-0.6603	-0.7462
433	65.1325	36.4014	53.0110	4.0	4.000	0.6389	0.7671	-0.0584
434	65.4325	33.4273	59.4167	4.0	4.010	0.8918	0.1217	0.4357
435	52.5325	31.0273	59.5122	4.0	3.999	-0.6286	-0.1758	0.7576
436	60.0325	26.8273	52.5615	4.0	4.000	-0.2161	-0.9317	-0.2920
437	56.4325	41.6435	57.8110	4.0	4.000	-0.4558	0.8688	0.1936
438	51.0325	28.9033	55.4110	4.0	4.000	-0.7460	-0.6601	0.0880
439	60.0325	41.2662	59.6110	4.0	4.000	0.1975	0.7868	0.5847
440	56.1325	30.7648	62.0110	4.0	3.999	-0.4057	-0.5264	0.7472
441	56.7325	38.7372	61.7110	4.0	3.999	0.0079	0.5244	0.8514
442	49.9307	32.5273	56.0110	4.0	4.000	-0.9889	0.0339	0.1444
443	57.6325	41.8273	54.5856	4.0	3.999	-0.2441	0.8834	-0.3999
444	65.3381	37.6273	57.5110	4.0	4.000	0.8961	0.4279	0.1177
445	59.4325	27.7273	60.3359	4.0	3.999	-0.0153	-0.6331	0.7740
446	51.5538	36.1273	55.4110	4.0	4.009	-0.9854	0.1123	0.1282
447	67.1009	33.1273	56.0110	4.0	4.000	0.9567	0.2745	0.0964
448	54.3325	32.8273	61.6261	4.0	3.999	-0.6701	-0.0982	0.7358
449	55.5325	35.2273	62.3961	4.0	3.999	-0.4935	0.0956	0.8645
450	52.8423	39.4273	55.7110	4.0	4.000	-0.7443	0.6160	-0.2581
451	59.1325	36.2578	48.5110	4.0	3.998	-0.0796	0.4500	-0.8895
452	62.1325	30.4273	61.3458	4.0	3.999	0.3167	-0.6000	0.7347
453	52.2325	29.2273	51.5362	4.0	4.000	-0.6298	-0.6138	-0.4760
454	54.6325	26.6544	55.1110	4.0	3.999	-0.4199	-0.8886	-0.1843
455	65.9293	34.0273	50.6110	4.0	3.999	0.7939	0.3801	-0.4746
456	56.4325	38.9251	50.6110	4.0	3.999	-0.1462	0.8530	-0.5011
457	64.5325	32.5273	48.7333	4.0	4.000	0.5164	0.0498	-0.8549
458	52.2325	36.5682	52.7110	4.0	3.999	-0.5930	0.7371	-0.3241
459	50.5982	32.8273	52.1110	4.0	4.000	-0.9002	0.0775	-0.4286
460	66.7395	30.7273	52.1110	4.0	4.000	0.9416	-0.2213	-0.2537
461	59.4325	39.6114	51.8110	4.0	3.999	0.1271	0.5119	-0.8496
462	54.6325	39.1273	53.1260	4.0	3.999	-0.4261	0.6103	-0.6678
463	58.5325	31.9273	63.0971	4.0	4.000	0.0135	-0.2952	0.9553
464	63.6325	39.6315	56.6110	4.0	4.001	0.8460	0.5330	-0.0124
465	55.2325	27.3809	59.3110	4.0	3.999	-0.2942	-0.7330	0.6134
466	60.0325	36.9234	62.3110	4.0	3.999	-0.0397	0.4330	0.9005
467	62.7325	37.0273	61.5327	4.0	4.004	0.3644	0.3926	0.8444
468	61.2325	31.6273	47.8623	4.0	4.000	-0.0287	-0.0597	-0.9978
469	52.5325	38.2273	59.5090	4.0	3.999	-0.8029	0.4543	0.3859
470	62.5659	33.7273	62.3110	4.0	3.998	0.4284	-0.0878	0.8993
471	60.2359	42.1273	56.0110	4.0	3.998	0.2353	0.9642	-0.1221
472	51.0325	32.4576	58.4110	4.0	3.998	-0.7952	0.0343	0.6054
473	59.1325	25.9786	55.7110	4.0	4.000	-0.0149	-0.9944	-0.1045
474	66.3669	28.6273	55.4110	4.0	4.000	0.8069	-0.5884	-0.0521
475	53.7325	31.6273	49.2406	4.0	4.000	-0.3192	-0.1390	-0.9374
476	64.2325	27.8890	58.7110	4.0	3.999	0.4696	-0.6747	0.5695
477	63.6325	37.3273	52.1139	4.0	4.000	0.7319	0.6289	-0.2624
478	53.5688	35.2273	61.4110	4.0	3.999	-0.5823	-0.0840	0.8086
479	55.2325	39.1273	61.1492	4.0	4.000	-0.3140	0.5628	0.7646
480	53.4325	35.2273	49.7024	4.0	4.000	-0.7462	0.2138	-0.6304
481	64.6613	27.7273	52.1110	4.0	3.999	0.5743	-0.7774	-0.2565
482	66.1391	34.3273	57.8110	4.0	3.999	0.7932	0.4374	0.4236
483	63.0325	39.4273	53.9949	4.0	3.999	0.7723	0.4501	-0.4483
484	56.4325	32.5273	48.3072	4.0	4.000	-0.1168	-0.3591	-0.9260
485	63.0325	28.3273	49.6174	4.0	3.999	0.2986	-0.6669	-0.6827
486	61.2325	27.0373	59.0110	4.0	3.999	0.3262	-0.7859	0.5253
487	66.4606	29.5273	57.5110	4.0	3.999	0.8436	-0.4227	0.3310
488	57.3325	27.4273	52.2239	4.0	3.999	-0.0114	-0.8031	-0.5958
489	62.6170	35.5273	49.1110	4.0	4.009	0.5480	0.3994	-0.7350
490	60.0325	33.7273	47.9245	4.0	4.000	0.0346	-0.0631	-0.9974
491	52.0424	29.5273	58.4110	4.0	3.999	-0.6288	-0.4852	0.6076
492	50.1629	30.4273	55.4110	4.0	4.000	-0.9470	-0.3095	0.0855
493	56.4325	29.1315	50.0110	4.0	3.999	0.1104	-0.5862	-0.8026
494	56.1325	26.2273	54.8584	4.0	3.999	-0.1829	-0.9541	-0.2371
495	57.0325	26.6297	58.7110	4.0	4.000	0.0472	-0.8588	0.5101
496	66.9031	32.5273	52.1110	4.0	4.000	0.9786	0.0494	-0.1996
497	60.5372	38.5273	50.6110	4.0	3.998	0.1540	0.8550	-0.4952
498	60.6249	29.2273	61.1110	4.0	4.000	0.1990	-0.4204	0.8853
499	64.4681	34.6273	49.4110	4.0	3.999	0.5211	0.4901	-0.6988
500	52.4265	33.7273	50.0110	4.0	3.999	-0.5944	0.2456	-0.7657
501	54.0325	27.7261	52.1110	4.0	4.000	-0.2718	-0.8550	-0.4417
502	62.4325	26.5273	53.7406	4.0	3.998	0.1462	-0.9340	-0.3259
503	49.9886	32.8273	53.9110	4.0	4.000	-0.9717	0.1464	-0.1855
504	57.0325	34.6273	63.1657	4.0	4.000	-0.2054	0.1963	0.9588
505	51.1658	28.9273	53.9110	4.0	3.999	-0.7323	-0.6565	-0.1811
506	59.7325	26.6122	53.6110	4.0	4.000	-0.2193	-0.9575	-0.1876
507	59.4325	38.8273	61.6826	4.0	4.000	0.0862	0.3434	0.9352
508	63.9325	26.6759	56.3110	4.0	4.000	0.3611	-0.9172	0.1683
509	58.5325	41.8273	58.8773	4.0	3.998	-0.0769	0.9097	0.4080
510	62.4325	39.7054	59.6110	4.0	4.000	0.6045	0.5492	0.5770
511	54.0850	40.6273	57.2110	4.0	3.999	-0.5370	0.8435	0.0095
512	50.4325	34.4304	56.0110	4.0	3.998	-0.8753	0.4384	0.2042
513	54.3325	31.0273	61.1394	4.0	4.000	-0.4712	-0.0770	0.8787
514	54.3325	40.0840	54.5110	4.0	3.999	-0.4259	0.7776	-0.4626
515	53.1325	30.4273	49.9006	4.0	3.999	-0.4777	-0.3522	-0.8048
516	66.0325	31.3273	59.0978	4.0	3.999	0.7585	-0.0535	0.6495
