idx	x	y	z	shell	standoff	nx	ny	nz
106	53.0241	30.7974	58.5114	3.0	2.995	-0.4906	-0.3157	0.8122
107	55.3805	34.5179	48.2944	4.0	3.995	-0.3500	0.0440	-0.9357
108	55.0985	38.5262	61.5085	4.0	3.997	-0.3220	0.4616	0.8266
109	58.4633	30.4160	50.3875	3.0	2.997	-0.1421	-0.6763	-0.7228
110	57.7092	38.9708	52.7513	3.0	2.995	-0.2511	0.4901	-0.8347
111	55.1124	31.3822	47.9472	5.0	4.997	-0.0860	-0.1641	-0.9827
112	63.6358	33.6146	48.4759	4.0	3.998	0.3996	0.2631	-0.8781
113	61.6737	37.8143	52.6620	3.0	2.995	0.4780	0.8587	-0.1846
114	53.6324	34.9373	62.6110	5.0	4.999	-0.4926	-0.1169	0.8624
115	48.9165	31.2849	55.4008	5.0	4.999	-0.9851	-0.1678	0.0387
116	61.3146	40.0668	52.8019	4.0	3.996	0.4453	0.6060	-0.6591
117	52.1503	32.4725	48.8346	5.0	4.997	-0.5491	-0.0259	-0.8353
118	61.4534	41.4878	55.1464	4.0	3.997	0.4607	0.8562	-0.2337
119	52.5245	37.0366	57.6232	3.0	2.997	-0.9469	0.2884	0.1421
120	61.1717	42.5302	58.6469	5.0	4.997	0.3462	0.8865	0.3069
121	53.0127	38.8889	52.1416	5.0	4.998	-0.6698	0.7226	-0.1711
122	64.0137	34.6246	59.8133	3.0	2.997	0.8395	0.0195	0.5429
123	60.3483	36.4162	63.5894	5.0	4.999	0.0557	0.2830	0.9575
124	57.4575	37.7757	62.2100	4.0	3.995	-0.1062	0.3426	0.9335
125	52.6506	37.2822	53.6812	4.0	4.011	-0.6838	0.5164	-0.5156
126	64.7924	34.2817	62.0012	5.0	4.999	0.7005	-0.0314	0.7130
127	55.5352	25.1664	56.6904	5.0	4.998	-0.2036	-0.9749	0.0905
128	57.3327	31.7043	49.7421	3.0	2.998	-0.0461	-0.4209	-0.9059
129	55.3255	38.5116	53.6534	3.0	2.997	-0.3412	0.5861	-0.7349
130	56.5545	33.6885	62.0375	3.0	2.996	-0.3792	-0.0273	0.9249
131	57.6251	42.3677	53.3721	5.0	4.998	-0.2068	0.8513	-0.4821
132	62.3083	42.1939	55.2233	5.0	4.996	0.5189	0.8325	-0.1940
133	65.5468	34.1447	53.9930	3.0	2.995	0.9033	0.4095	0.1281
134	53.9355	38.1687	59.5738	3.0	2.996	-0.6654	0.5026	0.5520
135	57.1791	40.8000	57.9418	3.0	2.994	-0.3587	0.8827	0.3036
136	50.7628	30.9992	57.8092	4.0	3.999	-0.8256	-0.2594	0.5011
137	51.6774	28.5633	58.8338	5.0	4.997	-0.5249	-0.5998	0.6039
138	60.5659	30.6667	61.8892	4.0	3.996	0.3910	-0.5694	0.7231
139	61.2135	37.8338	62.8444	5.0	4.998	0.1470	0.5132	0.8456
140	66.7429	30.1324	53.7001	4.0	3.998	0.9100	-0.2563	-0.3258
141	56.3069	28.4464	52.2792	3.0	2.994	0.0720	-0.8726	-0.4831
142	61.7522	38.7866	49.7444	5.0	4.998	0.3314	0.7461	-0.5775
143	54.4492	29.3876	51.3406	3.0	2.993	-0.2605	-0.7035	-0.6612
144	57.2384	28.0273	53.1182	3.0	2.996	-0.0797	-0.8284	-0.5544
145	53.0037	30.8393	61.4067	5.0	4.997	-0.6463	-0.1142	0.7545
146	50.8501	33.9507	57.6333	4.0	3.995	-0.8052	0.3270	0.4947
147	62.0581	42.4965	56.5143	5.0	4.997	0.4737	0.8806	-0.0105
148	60.0731	29.9420	62.8979	5.0	4.998	0.2921	-0.5783	0.7617
149	54.3473	30.5257	62.2034	5.0	4.998	-0.3972	-0.1626	0.9032
150	66.2632	29.1153	59.5241	5.0	4.996	0.6863	-0.4187	0.5947
151	63.8954	27.8933	56.7384	3.0	2.996	0.4463	-0.8521	0.2736
152	54.2863	28.2380	57.5752	3.0	2.996	-0.6366	-0.6926	0.3393
153	56.7649	42.6832	54.6070	5.0	4.998	-0.2996	0.9064	-0.2977
154	62.5103	35.2791	63.3989	5.0	4.997	0.3680	0.1472	0.9181
155	63.9944	36.1353	61.0110	4.0	4.001	0.6517	0.1929	0.7335
156	57.6802	34.8175	49.0264	3.0	2.996	0.1395	0.1260	-0.9822
157	65.2680	34.2643	56.9966	3.0	2.995	0.7789	0.5379	0.3226
158	52.3617	33.4902	51.3844	3.0	2.994	-0.7190	0.2243	-0.6578
159	66.6758	33.1498	49.4764	5.0	4.998	0.7960	0.1771	-0.5788
160	49.4960	32.7125	57.8309	5.0	4.998	-0.8887	0.0760	0.4521
161	58.1179	29.9198	60.4100	3.0	3.037	0.1764	-0.7523	0.6348
162	56.6593	35.1405	47.0460	5.0	4.997	-0.0986	0.1339	-0.9861
163	65.3011	28.0773	57.7628	4.0	3.996	0.6482	-0.6534	0.3912
164	50.9778	31.6743	56.0228	3.0	2.998	-0.9634	-0.1000	0.2489
165	61.0448	42.8042	55.1921	5.0	4.997	0.3363	0.9213	-0.1953
166	63.3341	31.1212	61.1590	4.0	3.997	0.5411	-0.4254	0.7255
167	50.4871	32.7922	52.3809	4.0	3.998	-0.9259	0.0240	-0.3771
168	62.1652	28.6181	50.5505	3.0	2.998	0.1606	-0.7704	-0.6170
169	55.5158	40.2283	61.6519	5.0	4.998	-0.2271	0.6708	0.7060
170	51.3046	28.9039	53.5640	4.0	3.998	-0.7122	-0.6384	-0.2920
171	57.4918	37.5863	50.4125	3.0	2.995	0.0368	0.7040	-0.7092
172	59.7183	30.8044	49.4296	3.0	2.998	-0.4328	-0.2731	-0.8591
173	56.8884	28.0001	49.7137	5.0	4.998	0.1430	-0.6957	-0.7040
174	54.2819	39.6481	60.0838	4.0	3.996	-0.4842	0.6780	0.5530
175	65.9150	30.5008	56.9235	3.0	2.997	0.9096	-0.2470	0.3342
176	58.0747	42.9515	54.5002	5.0	4.998	-0.1112	0.9333	-0.3414
177	63.4658	35.5847	62.8813	5.0	4.997	0.5063	0.1956	0.8399
178	50.5838	34.9186	50.9815	5.0	4.998	-0.7882	0.3475	-0.5080
179	60.3697	33.2939	47.9874	4.0	4.003	-0.0118	-0.1217	-0.9925
180	61.1060	31.0710	60.8189	3.0	2.996	0.1112	-0.5339	0.8382
181	58.9206	41.7714	59.0082	4.0	3.998	0.0313	0.9068	0.4204
182	55.2912	30.1718	61.3968	4.0	3.998	-0.3036	-0.2541	0.9183
183	59.4261	37.5563	48.1112	5.0	4.998	-0.0687	0.5759	-0.8146
184	55.5119	30.3053	48.2181	5.0	4.998	-0.0400	-0.3501	-0.9359
185	60.9373	42.0389	59.8525	5.0	4.998	0.3501	0.7988	0.4892
186	60.4929	28.0367	51.7018	3.0	2.995	-0.2378	-0.8945	-0.3786
187	52.9424	35.3721	60.8827	4.0	3.995	-0.6962	-0.0839	0.7129
188	59.3731	26.0422	57.4794	4.0	3.998	-0.0151	-0.9827	0.1846
189	59.3191	42.8878	54.2414	5.0	4.997	0.0602	0.9408	-0.3335
190	66.2269	31.9321	54.7501	3.0	2.998	0.9773	0.0826	-0.1951
191	55.2643	38.0434	48.6366	5.0	4.996	-0.3186	0.5645	-0.7614
192	56.6759	35.8873	61.5392	3.0	3.013	-0.0568	0.0939	0.9940
193	52.8016	40.5806	55.0638	5.0	4.998	-0.6346	0.7077	-0.3105
194	59.8541	30.2901	60.5473	3.0	3.015	0.2024	-0.4339	0.8779
195	52.7594	32.8618	59.7359	4.0	3.999	-0.4545	0.0927	0.8859
