#     Step;   Iter;    t_Ener;    t_Grad;       Temp;             E_Pot;        Delta E;      RMS(Grad);      Max(Grad);    Max(Step)
        80;      9;     32.46;     23.16;           ;    -1076.19172557;    -0.00323533;         4.7320;        30.9685;     0.012181
        81;      9;     32.48;     23.25;           ;    -1076.19239385;    -0.00066827;         6.6130;        68.6276;     0.008575
        82;      9;     32.75;     23.06;           ;    -1076.19559232;    -0.00319848;         4.7266;        39.1851;     0.020509
        83;      9;     32.79;     23.19;           ;    -1076.19658030;    -0.00098798;         6.5922;        47.4289;     0.019597
        84;      7;     31.32;     23.33;           ;    -1076.19982278;    -0.00324248;         4.6766;        32.1835;     0.013072
        85;      7;     29.80;     23.51;           ;    -1076.20075435;    -0.00093157;         6.4136;        37.2093;     0.011767
        86;     10;     35.82;     23.46;           ;    -1076.20383366;    -0.00307931;         4.5888;        31.4276;     0.026681
        87;      7;     29.13;     23.48;           ;    -1076.20432594;    -0.00049227;         6.0827;        45.6021;     0.015928
        88;      9;     31.84;     23.13;           ;    -1076.20697376;    -0.00264783;         4.2497;        22.2139;     0.011288
        89;      8;     29.92;     23.84;           ;    -1076.20764645;    -0.00067269;         5.7706;        43.6420;     0.009227
        90;      7;     29.59;     23.59;           ;    -1076.21020492;    -0.00255847;         4.1471;        25.4622;     0.025325
        91;      7;     29.06;     23.11;           ;    -1076.21104983;    -0.00084491;         5.6819;        54.9355;     0.025539
        92;      9;     32.76;     23.20;           ;    -1076.21347349;    -0.00242366;         4.1874;        31.0255;     0.012091
        93;      7;     29.35;     23.38;           ;    -1076.21370122;    -0.00022774;         5.3811;        66.4257;     0.005015
        94;      8;     30.14;     23.23;           ;    -1076.21570491;    -0.00200369;         3.9490;        29.7546;     0.019379
        95;      7;     29.29;     23.52;           ;    -1076.21632634;    -0.00062143;         5.5184;        55.5099;     0.018609
        96;      9;     31.86;     23.41;           ;    -1076.21855642;    -0.00223008;         3.9419;        21.7511;     0.009921
        97;      9;     31.47;     23.23;           ;    -1076.21921523;    -0.00065881;         5.3028;        42.2131;     0.009039
        98;      7;     28.98;     23.92;           ;    -1076.22145318;    -0.00223795;         3.8820;        25.4802;     0.027559
        99;      7;     29.44;     23.17;           ;    -1076.22190763;    -0.00045445;         5.3084;        49.2707;     0.019658
       100;      7;     29.10;     23.15;           ;    -1076.22401210;    -0.00210447;         3.8206;        22.2973;     0.011853
       101;      7;     34.25;     62.96;           ;    -1076.22444612;    -0.00043402;         5.1726;        42.4493;     0.008436
       102;      9;     73.53;     42.07;           ;    -1076.22641384;    -0.00196772;         3.8247;        27.5962;     0.023830
       103;      9;     77.81;     54.59;           ;    -1076.22682812;    -0.00041428;         5.2669;        39.1777;     0.017454
       104;      7;     75.91;     41.11;           ;    -1076.22874567;    -0.00191754;         3.6183;        24.6841;     0.009420
       105;      7;     67.53;     40.33;           ;    -1076.22909234;    -0.00034667;         4.6312;        38.6031;     0.006037
       106;      5;     74.99;     40.65;           ;    -1076.23075141;    -0.00165907;         3.6142;        23.6380;     0.024290
       107;      7;     65.88;     40.54;           ;    -1076.23106234;    -0.00031093;         4.9897;        52.4633;     0.016492
       108;      7;     72.05;     53.78;           ;    -1076.23279173;    -0.00172939;         3.5939;        27.0821;     0.009584
       109;      7;     71.54;     40.84;           ;    -1076.23319166;    -0.00039992;         4.7907;        59.9287;     0.007415
       110;      9;     84.02;     49.81;           ;    -1076.23492765;    -0.00173599;         3.3976;        22.7059;     0.025297
       111;      7;     68.15;     40.07;           ;    -1076.23528782;    -0.00036017;         4.6529;        46.8162;     0.018297
       112;      9;     78.59;     48.54;           ;    -1076.23685992;    -0.00157210;         3.2405;        17.5270;     0.014030
       113;      9;     84.43;     41.80;           ;    -1076.23737799;    -0.00051807;         4.5013;        41.9876;     0.013920
       114;      7;     67.23;     44.05;           ;    -1076.23889339;    -0.00151540;         3.2007;        18.4100;     0.020372
       115;      7;     78.36;     42.45;           ;    -1076.23931037;    -0.00041698;         4.4938;        30.1107;     0.017880
       116;      7;     69.25;     44.73;           ;    -1076.24078918;    -0.00147880;         3.1781;        20.1432;     0.013386
       117;      7;     75.05;     41.06;           ;    -1076.24126919;    -0.00048002;         4.3919;        30.6445;     0.013081
       118;      7;     71.62;     41.91;           ;    -1076.24275226;    -0.00148307;         3.4467;        23.7928;     0.029734
       119;      7;     64.97;     46.07;           ;    -1076.24300960;    -0.00025733;         4.7188;        44.1777;     0.019461
       120;      9;     81.44;     42.95;           ;    -1076.24460830;    -0.00159871;         3.5506;        21.0431;     0.014863
       121;      7;     69.79;     46.24;           ;    -1076.24481867;    -0.00021037;         4.3742;        28.5235;     0.007670
       122;      9;     77.83;     42.55;           ;    -1076.24648073;    -0.00166206;         3.5668;        26.1793;     0.041663
       123;      7;     70.88;     47.55;           ;    -1076.24662251;    -0.00014179;         4.6189;        43.0547;     0.017254
       124;      8;     70.25;     42.15;           ;    -1076.24816660;    -0.00154408;         3.2846;        20.4561;     0.017504
       125;      8;     72.76;     45.75;           ;    -1076.24859863;    -0.00043204;         4.5401;        67.6833;     0.015643
       126;      7;     69.37;     42.06;           ;    -1076.25007758;    -0.00147895;         3.2457;        16.5389;     0.033285
       127;      7;     70.99;     44.63;           ;    -1076.25034313;    -0.00026555;         4.4347;        58.0862;     0.021782
       128;      7;     69.40;     42.52;           ;    -1076.25167482;    -0.00133169;         3.1786;        21.5891;     0.014305
       129;      7;     69.74;     44.78;           ;    -1076.25212531;    -0.00045049;         4.4032;        42.0073;     0.014407
       130;      7;     66.70;     43.42;           ;    -1076.25354495;    -0.00141965;         3.2140;        17.7212;     0.039070
       131;      7;     66.91;     42.24;           ;    -1076.25384323;    -0.00029827;         4.3830;        47.5599;     0.029493
       132;      7;     69.61;     40.60;           ;    -1076.25518727;    -0.00134404;         3.3383;        23.9485;     0.016348
       133;      7;     74.44;     41.33;           ;    -1076.25533090;    -0.00014363;         4.1089;        38.4786;     0.007411
       134;      9;     77.57;     41.61;           ;    -1076.25674335;    -0.00141245;         3.3535;        28.9510;     0.050423
       135;      7;     69.48;     42.19;           ;    -1076.25684414;    -0.00010080;         4.2521;        37.1652;     0.018859
       136;      8;     82.31;     45.34;           ;    -1076.25810589;    -0.00126175;         2.9391;        16.9025;     0.014201
       137;      8;     82.78;     41.69;           ;    -1076.25841408;    -0.00030819;         3.8870;        31.9183;     0.011312
       138;      9;     75.69;     45.62;           ;    -1076.25958418;    -0.00117010;         2.8218;        15.1688;     0.035468
       139;      8;     73.00;     43.84;           ;    -1076.25984251;    -0.00025833;         3.8816;        27.0653;     0.026972
       140;      7;     73.22;     43.45;           ;    -1076.26096971;    -0.00112720;         2.7602;        17.0641;     0.013078
       141;      7;     73.50;     44.83;           ;    -1076.26129530;    -0.00032559;         3.8190;        26.1770;     0.011726
       142;      8;     76.73;     40.21;           ;    -1076.26238173;    -0.00108643;         2.6691;        15.8823;     0.036100
       143;      8;     80.72;     42.43;           ;    -1076.26256547;    -0.00018374;         3.5445;        24.1443;     0.022703
       144;      7;     69.42;     42.81;           ;    -1076.26349211;    -0.00092663;         2.5392;        14.7994;     0.010346
       145;      7;     73.89;     46.19;           ;    -1076.26371533;    -0.00022323;         3.3978;        27.7187;     0.008146
       146;      7;     68.33;     42.11;           ;    -1076.26461275;    -0.00089742;         2.6016;        17.0156;     0.035483
       147;      7;     73.40;     41.69;           ;    -1076.26473703;    -0.00012428;         3.4498;        37.6428;     0.019810
       148;      5;     65.18;     43.46;           ;    -1076.26554848;    -0.00081145;         2.6364;        18.7045;     0.011617
       149;      5;     64.95;     43.09;           ;    -1076.26562314;    -0.00007466;         3.2186;        35.5880;     0.004786
       150;      5;     57.31;     46.45;           ;    -1076.26646113;    -0.00083798;         2.5062;        17.2919;     0.034718
       151;      7;     74.58;     41.90;           ;    -1076.26658117;    -0.00012004;         3.3678;        26.2635;     0.019743
       152;      8;     71.56;     44.77;           ;    -1076.26737990;    -0.00079873;         2.3463;        13.9874;     0.009815
       153;      8;     77.73;     45.66;           ;    -1076.26759649;    -0.00021659;         3.1997;        26.1743;     0.008412
