idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
182	26.6397	40.1991	61.0451	3.0	-0.149061	-0.146813	0.002248
183	28.5759	35.8285	60.1584	4.0	-0.103004	-0.103867	-0.000864
184	21.0855	49.2098	56.9556	4.0	-0.139363	-0.136732	0.002631
185	23.0650	42.2362	51.0843	3.0	-0.173140	-0.172887	0.000253
186	22.8896	44.3995	62.1378	2.0	-0.192599	-0.185058	0.007540
187	21.2604	45.9727	52.5888	4.0	-0.159403	-0.158761	0.000641
188	23.9321	33.5657	61.0850	4.0	-0.104848	-0.106586	-0.001739
189	16.3255	38.4025	56.4512	2.0	-0.176862	-0.181556	-0.004694
190	21.3762	33.1600	60.4311	4.0	-0.109566	-0.112228	-0.002662
191	21.3760	46.7789	59.9737	2.0	-0.199565	-0.191535	0.008030
192	16.7940	40.5122	62.5966	4.0	-0.140234	-0.141200	-0.000965
193	26.0011	46.5094	54.7824	4.0	-0.139123	-0.137320	0.001803
194	19.8242	35.8227	51.3724	3.0	-0.152062	-0.153951	-0.001889
195	15.1418	37.4337	59.5739	4.0	-0.129190	-0.132605	-0.003415
196	18.9974	48.2815	56.6970	4.0	-0.146592	-0.144554	0.002038
197	21.5086	49.2558	59.2576	4.0	-0.137733	-0.134294	0.003439
198	22.9576	39.1707	64.5330	4.0	-0.126479	-0.125611	0.000868
199	26.3492	43.5954	52.2632	4.0	-0.136772	-0.136057	0.000715
200	17.3898	42.6602	63.9287	4.0	-0.133451	-0.132389	0.001062
201	24.2540	43.6654	61.2556	2.0	-0.194709	-0.188036	0.006673
202	28.6283	37.4226	53.8412	4.0	-0.114324	-0.115030	-0.000705
203	16.8835	41.4912	52.7701	2.0	-0.189269	-0.190159	-0.000891
204	26.6886	33.0935	55.1938	4.0	-0.100731	-0.101555	-0.000824
205	25.0497	32.1084	56.7915	4.0	-0.099752	-0.100898	-0.001147
206	27.0148	44.9007	53.8567	4.0	-0.133900	-0.132664	0.001236
207	15.8906	43.0541	51.2986	4.0	-0.137611	-0.138089	-0.000478
208	20.2984	48.4828	55.5630	4.0	-0.144839	-0.142908	0.001931
209	28.1700	41.2855	54.9845	3.0	-0.137165	-0.136488	0.000677
