idx	x_ang	y_ang	z_ang	shell
231	60.8194	35.6491	50.6296	2.0
232	64.7801	31.0521	50.1861	3.0
233	60.2746	35.5283	62.7754	4.0
234	57.0072	37.6900	62.2445	4.0
235	56.2046	35.6540	50.5479	2.0
236	63.7810	36.2316	54.2580	3.0
237	60.7278	30.6393	59.3858	2.0
238	61.6525	33.1668	47.8482	4.0
239	63.6042	32.2600	49.2162	3.0
240	63.2027	28.3249	54.5029	2.0
241	60.1137	29.9248	48.2736	4.0
242	61.8254	41.0130	54.5343	4.0
243	57.9879	28.4743	60.5570	4.0
244	58.2742	37.8541	49.3364	4.0
245	59.0210	27.4374	51.2097	4.0
246	62.9498	38.4802	60.5723	4.0
247	53.7983	34.6673	58.2083	2.0
248	66.9574	30.8230	53.4171	4.0
249	51.5458	34.9591	58.0888	4.0
250	58.2775	30.7871	51.3157	2.0
251	57.1326	41.5055	54.1828	4.0
252	62.5520	33.4218	62.2554	4.0
253	61.3571	37.0334	50.8955	3.0
254	54.3492	30.6630	59.5273	3.0
255	63.3465	32.2775	61.6222	4.0
256	54.1451	32.7171	59.5463	3.0
257	61.6005	38.4618	51.7485	4.0
258	63.2059	30.3142	50.5636	2.0
259	52.3538	32.8890	50.3725	4.0
260	51.7191	32.8748	58.6856	4.0
261	63.4647	29.5481	60.3049	4.0
262	63.8964	33.9904	56.8474	2.0
263	64.8375	33.8625	49.2447	4.0
264	64.1669	34.0859	54.0868	2.0
265	56.2959	37.7399	54.1091	2.0
266	52.5606	38.1577	54.4699	4.0
267	65.2462	27.4077	56.9697	4.0
268	62.7242	39.1931	56.9713	3.0
269	58.4728	42.3915	56.5647	4.0
270	61.4938	38.9666	61.0410	4.0
271	54.5173	36.7530	59.4856	2.0
272	59.1424	26.8128	59.0762	4.0
273	56.8508	31.2970	48.9627	4.0
274	64.2046	39.2192	56.5525	4.0
275	52.4201	39.0826	56.5054	4.0
276	63.3281	31.2064	48.0447	4.0
277	64.6654	35.2244	50.1035	4.0
278	61.1621	28.2638	56.7649	2.0
279	53.6016	40.2823	57.5767	4.0
280	57.5197	34.0095	48.1146	4.0
281	59.1182	41.2618	53.3186	4.0
282	53.8223	37.2783	56.0146	2.0
283	53.9990	32.6273	50.4175	3.0
284	59.2469	36.6057	48.6670	4.0
285	54.1265	39.0171	60.6447	4.0
286	53.1888	35.9313	61.1342	4.0
287	54.4527	29.1525	55.6532	2.0
288	63.7634	37.9072	53.6538	4.0
289	63.1543	33.1385	48.0865	4.0
290	59.2431	31.6676	48.1986	4.0
291	54.9605	37.1731	49.5410	4.0
292	53.6338	27.2788	54.7871	4.0
293	66.0274	33.8949	50.6859	4.0
