idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
200	61.8158	28.3910	48.9784	4.0	-0.129900	-0.125782	0.004118
201	56.1931	29.1653	49.9694	4.0	-0.129285	-0.127501	0.001784
202	60.3873	27.1481	55.4284	3.0	-0.159678	-0.156266	0.003412
203	51.3630	35.1799	56.5686	4.0	-0.128568	-0.129557	-0.000990
204	60.2932	32.6095	49.9627	2.0	-0.185215	-0.181040	0.004175
205	56.0309	33.2864	50.7268	2.0	-0.163567	-0.162689	0.000878
206	52.5148	36.5714	53.2035	4.0	-0.133498	-0.134474	-0.000976
207	56.2618	33.9426	49.3075	3.0	-0.139073	-0.138411	0.000662
208	57.4768	28.7312	55.1122	2.0	-0.168898	-0.167313	0.001585
209	59.6963	39.9288	58.2149	2.0	-0.183304	-0.184544	-0.001240
210	58.3293	41.2646	57.6713	3.0	-0.154533	-0.155748	-0.001216
211	64.7171	36.2407	60.3069	4.0	-0.133551	-0.135727	-0.002176
212	51.9671	35.0406	51.8296	4.0	-0.120227	-0.120672	-0.000445
213	56.5545	27.0104	53.4125	4.0	-0.129762	-0.128088	0.001674
214	60.4280	26.3295	53.3009	4.0	-0.140037	-0.136391	0.003646
215	56.8357	38.9305	50.5225	4.0	-0.130840	-0.131719	-0.000880
216	59.2242	36.9329	50.2823	3.0	-0.151556	-0.152104	-0.000548
217	59.3131	29.1838	60.0949	3.0	-0.145698	-0.147578	-0.001881
218	56.9737	28.6086	56.7779	2.0	-0.150717	-0.150246	0.000471
219	63.4374	26.1577	55.2278	4.0	-0.133028	-0.129958	0.003071
220	56.9502	39.7256	52.3097	4.0	-0.145366	-0.146829	-0.001462
221	52.4873	28.2519	56.9009	4.0	-0.105103	-0.104890	0.000213
222	65.2440	37.7185	58.2285	4.0	-0.134112	-0.135995	-0.001882
223	61.6576	37.8292	54.7755	2.0	-0.203144	-0.206070	-0.002926
224	56.6666	39.6753	59.5266	3.0	-0.164147	-0.165702	-0.001556
225	56.1909	30.5295	61.6279	4.0	-0.127569	-0.129537	-0.001968
226	53.5281	30.8667	52.5388	2.0	-0.136553	-0.136303	0.000250
227	64.6141	32.6628	60.6250	4.0	-0.137599	-0.139693	-0.002094
228	62.4514	29.9540	49.2492	3.0	-0.148573	-0.143095	0.005478
229	51.1295	30.9567	57.7917	4.0	-0.107081	-0.107324	-0.000244
230	62.2415	26.0681	56.6133	4.0	-0.132720	-0.130547	0.002173
231	60.8194	35.6491	50.6296	2.0	-0.170546	-0.170706	-0.000160
232	64.7801	31.0521	50.1861	3.0	-0.150065	-0.145286	0.004779
233	60.2746	35.5283	62.7754	4.0	-0.138314	-0.140672	-0.002357
234	57.0072	37.6900	62.2445	4.0	-0.140314	-0.142304	-0.001990
235	56.2046	35.6540	50.5479	2.0	-0.150191	-0.150443	-0.000252
236	63.7810	36.2316	54.2580	3.0	-0.180488	-0.182371	-0.001884
237	60.7278	30.6393	59.3858	2.0	-0.180451	-0.184775	-0.004324
238	61.6525	33.1668	47.8482	4.0	-0.133406	-0.131120	0.002286
239	63.6042	32.2600	49.2162	3.0	-0.149643	-0.145667	0.003976
240	63.2027	28.3249	54.5029	2.0	-0.189108	-0.181388	0.007720
241	60.1137	29.9248	48.2736	4.0	-0.132910	-0.129478	0.003432
242	61.8254	41.0130	54.5343	4.0	-0.138099	-0.139429	-0.001330
243	57.9879	28.4743	60.5570	4.0	-0.127804	-0.129021	-0.001217
244	58.2742	37.8541	49.3364	4.0	-0.129458	-0.129860	-0.000402
245	59.0210	27.4374	51.2097	4.0	-0.140085	-0.136489	0.003596
246	62.9498	38.4802	60.5723	4.0	-0.135995	-0.138011	-0.002017
247	53.7983	34.6673	58.2083	2.0	-0.178413	-0.181165	-0.002751
248	66.9574	30.8230	53.4171	4.0	-0.141454	-0.138801	0.002654
249	51.5458	34.9591	58.0888	4.0	-0.128402	-0.129614	-0.001212
250	58.2775	30.7871	51.3157	2.0	-0.192024	-0.187738	0.004286
